station_id,date,t_min,t_max,t_mean
IUNG1,2025-03-24,0.0,10.1,5.05
IUNG1,2025-03-25,0.0,12.3,6.15
IUNG1,2025-03-26,-0.7,16.5,7.9
IUNG1,2025-03-27,6.5,9.9,8.2
IUNG1,2025-03-28,0.0,15.3,7.65
IUNG1,2025-03-29,0.0,16.4,8.2
IUNG1,2025-03-30,2.3,15.4,8.85
IUNG1,2025-03-31,0.0,9.8,4.9
IUNG1,2025-04-01,0.0,13.1,6.55
IUNG1,2025-04-02,0.0,17.1,8.55
IUNG1,2025-04-03,0.0,18.9,9.45
IUNG1,2025-04-04,0.0,20.1,10.05
IUNG1,2025-04-05,-0.7,9.6,4.45
IUNG1,2025-04-06,-0.7,2.5,0.9
IUNG1,2025-04-07,-2.4,7.9,2.75
IUNG1,2025-04-08,-1.0,8.9,3.95
IUNG1,2025-04-09,-0.3,9.0,4.35
IUNG1,2025-04-10,-1.5,5.1,1.8
IUNG1,2025-04-11,0.0,6.8,3.4
IUNG1,2025-04-12,0.0,14.8,7.4
IUNG1,2025-04-13,0.0,21.3,10.65
IUNG1,2025-04-14,10.4,23.0,16.7
IUNG1,2025-04-15,0.0,17.9,8.95
IUNG1,2025-04-16,10.9,25.2,18.05
IUNG1,2025-04-17,11.9,27.7,19.8
IUNG1,2025-04-18,0.0,26.3,13.15
IUNG1,2025-04-19,9.4,21.0,15.2
IUNG1,2025-04-20,0.0,22.5,11.25
IUNG1,2025-04-21,0.0,25.0,12.5
IUNG1,2025-04-22,0.0,23.1,11.55
IUNG1,2025-04-23,9.0,22.2,15.6
IUNG1,2025-04-24,0.0,23.6,11.8
IUNG1,2025-04-25,0.0,14.8,7.4
IUNG1,2025-04-26,1.4,12.6,7.0
IUNG1,2025-04-27,-0.4,14.4,7.0
IUNG1,2025-04-28,0.0,19.1,9.55
IUNG1,2025-04-29,0.0,20.8,10.4
IUNG1,2025-04-30,0.0,20.7,10.35
IUNG1,2025-05-01,0.0,19.4,9.7
IUNG1,2025-05-02,4.3,23.5,13.9
IUNG1,2025-05-03,0.0,24.9,12.45
IUNG1,2025-05-04,0.0,17.6,8.8
IUNG1,2025-05-05,5.8,10.7,8.25
IUNG1,2025-05-06,0.0,13.4,6.7
IUNG1,2025-05-07,0.0,13.6,6.8
IUNG1,2025-05-08,0.0,12.0,6.0
IUNG1,2025-05-09,-0.2,11.9,5.85
IUNG1,2025-05-10,0.0,9.5,4.75
